https://www.CryptoDataDownload.com,,,,,,,,
unix,date,symbol,open,high,low,close,Volume USD,Volume BTC
1.75781E+12,14-09-2025 00:00,BTC/USD,115900,116130,115220,115530,41126547.92,355.9815452
1.75772E+12,13-09-2025 00:00,BTC/USD,116010,116200,115060,115910,11123668.66,95.96815342
1.75764E+12,12-09-2025 00:00,BTC/USD,115400,116610,114690,116030,17808813.42,153.4845593
1.75755E+12,11-09-2025 00:00,BTC/USD,113900,115400,113420,115400,23340897.11,202.2608069
1.75746E+12,10-09-2025 00:00,BTC/USD,111530,114290,111170,113900,50100930.47,439.8676951
1.75738E+12,09-09-2025 00:00,BTC/USD,112060,113200,110740,111540,18161942.35,162.8289613
1.75729E+12,08-09-2025 00:00,BTC/USD,111220,112840,110740,112050,19007159.04,169.631049
1.7572E+12,07-09-2025 00:00,BTC/USD,110240,111610,110230,111220,23598744.23,212.1807609
1.75712E+12,06-09-2025 00:00,BTC/USD,110620,111190,110220,110270,95928965.29,869.9461802
1.75703E+12,05-09-2025 00:00,BTC/USD,110910,113520,110410,110640,31503956.77,284.7429209
1.75694E+12,04-09-2025 00:00,BTC/USD,111900,112330,109510,110910,22783427.8,205.4226652
1.75686E+12,03-09-2025 00:00,BTC/USD,111370,112720,110750,111890,11810005.06,105.5501391
1.75677E+12,02-09-2025 00:00,BTC/USD,109420,111930,108630,111360,47720378.15,428.5235107
1.75668E+12,01-09-2025 00:00,BTC/USD,108430,110010,107370,109410,51742390.85,472.9219527
1.7566E+12,31-08-2025 00:00,BTC/USD,109000,109680,108240,108420,42149558.23,388.7618357
1.75651E+12,30-08-2025 00:00,BTC/USD,108550,109120,107540,109000,55225233.43,506.6535177
1.75643E+12,29-08-2025 00:00,BTC/USD,112740,112790,107650,108530,68381298.86,630.0681734
1.75634E+12,28-08-2025 00:00,BTC/USD,111450,113630,111120,112740,28601637.42,253.6955598
1.75625E+12,27-08-2025 00:00,BTC/USD,112010,112850,110600,111470,44515028.58,399.3453717
1.75617E+12,26-08-2025 00:00,BTC/USD,110370,112570,108910,112000,60555048.73,540.6700779
1.75608E+12,25-08-2025 00:00,BTC/USD,113730,113880,109550,110360,101566737,920.3220102
1.75599E+12,24-08-2025 00:00,BTC/USD,115530,115810,111200,113700,52953980.76,465.7342196
1.75591E+12,23-08-2025 00:00,BTC/USD,117050,117150,114790,115570,18633548.78,161.2317104
1.75582E+12,22-08-2025 00:00,BTC/USD,112750,117570,111990,117000,92995842.16,794.8362578
1.75573E+12,21-08-2025 00:00,BTC/USD,114520,115020,112310,112740,89024000.79,789.6398864
1.75565E+12,20-08-2025 00:00,BTC/USD,113030,114890,112650,114500,83251749.9,727.0895188
1.75556E+12,19-08-2025 00:00,BTC/USD,116430,116920,113000,113030,181800890.2,1608.430418
1.75548E+12,18-08-2025 00:00,BTC/USD,117530,117640,114890,116400,83279178.39,715.456859
1.75539E+12,17-08-2025 00:00,BTC/USD,117580,118680,117390,117540,15240387.71,129.6612873
