Date,Close,High,Low,Open,Volume
,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD
23-11-2023,2062.210693,2088.031982,2041.464233,2063.905518,7828437946
24-11-2023,2081.1521,2132.481201,2060.999023,2062.411865,12141148820
25-11-2023,2084.413086,2091.342773,2067.917236,2081.296143,5362623390
26-11-2023,2063.286133,2094.095947,2038.600464,2084.17749,8054814154
27-11-2023,2027.417358,2070.606201,1988.120361,2062.390869,10574810069
28-11-2023,2049.338135,2074.954102,1996.814697,2027.517212,9910633038
29-11-2023,2029.929199,2071.994385,2020.756592,2049.186768,8945151861
30-11-2023,2052.556152,2054.444336,2022.461792,2029.358398,8107789163
01-12-2023,2087.139893,2109.319092,2046.557007,2052.09668,10866891430
02-12-2023,2165.704102,2182.817871,2087.407959,2087.663574,9130124831
03-12-2023,2193.69165,2213.175781,2151.720947,2165.895752,8278465782
04-12-2023,2243.21582,2273.069824,2193.007324,2193.66333,16149367134
05-12-2023,2293.841797,2306.570313,2191.17627,2243.092529,15383072559
06-12-2023,2231.661377,2310.713135,2225.081055,2293.628174,12790612571
07-12-2023,2357.57959,2380.729736,2225.050537,2233.217773,14766891042
08-12-2023,2358.731934,2387.514404,2340.92041,2357.169189,12543458699
09-12-2023,2341.175293,2401.760498,2331.666016,2358.686035,10613312823
10-12-2023,2352.462646,2376.749756,2323.405762,2341.440186,7369608905
11-12-2023,2224.578857,2354.914063,2160.358154,2352.496582,17989249470
12-12-2023,2202.038086,2242.55127,2166.77002,2224.391113,11391132228
13-12-2023,2260.648682,2283.099121,2150.754395,2202.600342,12576395493
14-12-2023,2316.579102,2331.601563,2239.366211,2260.736084,12608711052
15-12-2023,2219.337402,2316.892822,2214.263184,2316.110352,10259157898
16-12-2023,2226.926514,2260.809814,2213.550781,2220.415527,6866555430
17-12-2023,2196.481201,2244.366455,2195.761719,2226.892578,7410453853
18-12-2023,2217.273438,2222.019287,2120.127441,2195.341797,10366536490
19-12-2023,2177.872559,2253.348877,2139.723389,2218.240967,10619179629
20-12-2023,2201.911377,2263.329102,2161.21875,2177.239502,12652290807
21-12-2023,2239.54248,2278.121582,2184.856689,2201.790039,12616530536
22-12-2023,2326.524902,2341.94751,2233.532715,2239.598145,16137246310
23-12-2023,2309.046387,2332.072021,2270.428955,2326.71582,7995772945
24-12-2023,2265.692139,2325.705078,2249.984375,2309.626709,9450799236
25-12-2023,2272.561768,2303.551025,2254.574463,2265.340576,8036302656
26-12-2023,2231.465332,2274.557373,2180.225342,2272.21875,10668581464
27-12-2023,2378.73999,2392.608643,2215.140381,2231.393066,14161342927
28-12-2023,2347.566162,2445.017578,2338.703857,2380.200684,15660799060
29-12-2023,2300.690674,2386.004639,2262.97583,2346.84375,12536968996
30-12-2023,2292.06543,2322.021484,2270.011963,2300.399658,6888195427
31-12-2023,2281.471191,2318.512939,2261.394287,2291.945313,6871481744
01-01-2024,2352.327881,2352.327881,2267.018066,2282.870361,6906765990
02-01-2024,2355.836426,2431.212402,2348.892334,2352.593506,12910543630
03-01-2024,2210.761963,2385.117676,2113.925293,2355.981445,19332933581
04-01-2024,2269.038086,2294.608154,2204.865723,2210.529053,11044564896
05-01-2024,2268.647217,2276.764648,2209.537109,2269.409424,10860953290
06-01-2024,2241.624756,2271.359375,2219.781982,2269.540039,5970741680
07-01-2024,2222.865967,2257.12793,2211.5625,2242.012695,6490053615
08-01-2024,2333.032715,2358.815674,2171.993652,2222.857666,13830287095
09-01-2024,2344.827148,2369.641602,2243.219238,2332.868164,14891130716
