Date,Close,High,Low,Open,Volume
,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
23-11-2023,37289.62109,37643.91797,36923.86328,37420.43359,14214948217
24-11-2023,37720.28125,38415.33984,37261.60547,37296.31641,22922957823
25-11-2023,37796.79297,37892.42969,37617.41797,37721.41406,9099571165
26-11-2023,37479.12109,37820.30078,37162.75,37796.82813,13744796068
27-11-2023,37254.16797,37559.35547,36750.12891,37454.19141,19002925720
28-11-2023,37831.08594,38368.48047,36891.08984,37247.99219,21696137014
29-11-2023,37858.49219,38366.11328,37612.63281,37826.10547,20728546658
30-11-2023,37712.74609,38141.75391,37531.14063,37861.11719,18115982627
01-12-2023,38688.75,38954.10938,37629.35938,37718.00781,23512784002
02-12-2023,39476.33203,39678.9375,38652.59375,38689.27734,15534035612
03-12-2023,39978.39063,40135.60547,39298.16406,39472.20703,15769696322
04-12-2023,41980.09766,42371.75,39978.62891,39978.62891,39856129827
05-12-2023,44080.64844,44408.66406,41421.14844,41986.26563,36312154535
06-12-2023,43746.44531,44265.76953,43478.08203,44080.02344,29909761586
07-12-2023,43292.66406,44042.58984,42880.64844,43769.13281,27635760671
08-12-2023,44166.60156,44705.51563,43125.29688,43293.13672,24421116687
09-12-2023,43725.98438,44361.25781,43627.59766,44180.01953,17368210171
10-12-2023,43779.69922,44034.625,43593.28516,43728.38281,13000481418
11-12-2023,41243.83203,43808.375,40234.57813,43792.01953,40632672038
12-12-2023,41450.22266,42048.30469,40667.5625,41238.73438,24779520132
13-12-2023,42890.74219,43429.78125,40676.86719,41468.46484,26797884674
14-12-2023,43023.97266,43390.85938,41767.08984,42884.26172,25578530178
15-12-2023,41929.75781,43087.82422,41692.96875,43028.25,19639442462
16-12-2023,42240.11719,42664.94531,41723.11328,41937.74219,14386729590
17-12-2023,41364.66406,42359.49609,41274.54297,42236.10938,16678702876
18-12-2023,42623.53906,42720.29688,40530.25781,41348.20313,25224642008
19-12-2023,42270.52734,43354.29688,41826.33594,42641.51172,23171001281
20-12-2023,43652.25,44275.58594,42223.81641,42261.30078,27868908174
21-12-2023,43869.15234,44240.66797,43330.05078,43648.125,22452766169
22-12-2023,43997.90234,44367.95703,43441.96875,43868.98828,21028503216
23-12-2023,43739.54297,44015.69922,43351.35547,44012.19922,13507796558
24-12-2023,43016.11719,43945.52344,42786.91797,43728.36719,18830554085
25-12-2023,43613.14063,43765.09375,42765.76953,43010.57422,21115795370
26-12-2023,42520.40234,43603.17578,41676.48828,43599.84766,30026850982
27-12-2023,43442.85547,43683.16016,42167.58203,42518.46875,25260941032
28-12-2023,42627.85547,43804.78125,42318.55078,43468.19922,22992093014
29-12-2023,42099.40234,43124.32422,41424.0625,42614.64453,26000021055
30-12-2023,42156.90234,42584.125,41556.22656,42091.75391,16013925945
31-12-2023,42265.1875,42860.9375,41998.25391,42152.09766,16397498810
01-01-2024,44167.33203,44175.4375,42214.97656,42280.23438,18426978443
02-01-2024,44957.96875,45899.70703,44176.94922,44187.14063,39335274536
03-01-2024,42848.17578,45503.24219,40813.53516,44961.60156,46342323118
04-01-2024,44179.92188,44770.02344,42675.17578,42855.81641,30448091210
05-01-2024,44162.69141,44353.28516,42784.71875,44192.98047,32336029347
06-01-2024,43989.19531,44227.63281,43475.15625,44178.95313,16092503468
07-01-2024,43943.09766,44495.57031,43662.23047,43998.46484,19330573863
08-01-2024,46970.50391,47218,43244.08203,43948.70703,42746192015
09-01-2024,46139.73047,47893.69922,45244.71484,46987.64063,39821290992
10-01-2024,46627.77734,47647.22266,44483.15234,46121.53906,50114613298
11-01-2024,46368.58594,48969.37109,45678.64453,46656.07422,45833734549
12-01-2024,42853.16797,46498.13672,41903.76953,46354.79297,43332698900
13-01-2024,42842.38281,43234.66016,42464.14453,42799.44531,20601860469
14-01-2024,41796.26953,43065.59766,41724.61328,42842.26172,17521429522
15-01-2024,42511.96875,43319.72266,41705.41797,41715.06641,22320220558
16-01-2024,43154.94531,43566.27344,42085.99609,42499.33594,24062872740
17-01-2024,42742.65234,43189.89063,42189.30859,43132.10156,20851232595
18-01-2024,41262.05859,42876.34766,40631.17188,42742.3125,25218357242
19-01-2024,41618.40625,42134.16016,40297.45703,41278.46094,25752407154
20-01-2024,41665.58594,41877.89453,41446.82422,41624.58984,11586690904
21-01-2024,41545.78516,41855.36719,41497.00781,41671.48828,9344043642
22-01-2024,39507.36719,41651.20703,39450.11719,41553.65234,31338708143
23-01-2024,39845.55078,40127.35156,38521.89453,39518.71484,29244553045
24-01-2024,40077.07422,40483.78516,39508.79688,39877.59375,22359526178
25-01-2024,39933.80859,40254.48047,39545.66406,40075.55078,18491782013
26-01-2024,41816.87109,42209.38672,39825.69141,39936.81641,25598119893
