date,eth_open,eth_high,eth_low,eth_close,eth_volume
2024-02-09,2419.773682,2522.724609,2419.362793,2487.515625,13634203177
2024-02-10,2487.650391,2516.719727,2475.857666,2501.228271,6474444159
2024-02-11,2501.129883,2537.679199,2495.214355,2507.570557,7347245813
2024-02-12,2507.578857,2663.842773,2473.812012,2658.115967,13022696866
2024-02-13,2659.586182,2686.455078,2599.169434,2642.185303,18271237044
2024-02-14,2641.685303,2786.893555,2621.025391,2777.902344,21448973822
2024-02-15,2777.601318,2865.845459,2764.010498,2824.378906,23734481937
2024-02-16,2825.480713,2858.450439,2760.331055,2803.691406,17057114638
2024-02-17,2803.73584,2805.128662,2724.386963,2786.672607,17932379943
2024-02-18,2786.709717,2892.843506,2767.913086,2878.998047,23355830478
2024-02-19,2881.296875,2983.370605,2860.263672,2943.574707,15163110589
2024-02-20,2944.106445,3031.524414,2879.90332,3013.503662,20341598470
2024-02-21,3015.65332,3017.19043,2875.418457,2970.355469,18897136867
2024-02-22,2969.599854,3030.666016,2907.109375,2971.007324,18058908246
2024-02-23,2970.139648,2991.32959,2906.58374,2921.658203,12822717059
2024-02-24,2921.962891,3003.195068,2907.700684,2992.385986,10701688842
2024-02-25,2992.366699,3117.428955,2984.393066,3112.697266,14620450464
2024-02-26,3112.529053,3197.375,3037.95459,3178.993652,17504464351
2024-02-27,3178.405029,3287.958008,3167.830566,3244.519287,21090315368
2024-02-28,3243.893311,3485.450928,3201.575928,3385.703857,32885894265
2024-02-29,3386.802734,3518.969238,3303.905273,3341.919678,28469171094
2024-03-01,3341.96582,3452.626221,3341.851074,3435.053955,16880101987
2024-03-02,3436.15918,3459.747314,3398.898926,3422.049805,12024340617
2024-03-03,3422.875244,3491.168457,3372.214111,3490.993652,13643324467
2024-03-04,3489.340088,3641.459229,3446.017578,3630.433838,26772963830
2024-03-05,3631.928955,3828.159668,3224.119385,3554.9646,47706899137
2024-03-06,3554.067871,3901.434326,3502.80249,3819.226318,34938642613
2024-03-07,3818.311035,3939.593994,3738.685303,3874.347656,22457177587
2024-03-08,3874.830811,3998.826416,3828.363281,3892.061035,26135487051
2024-03-09,3892.119141,3950.396484,3880.658936,3915.418945,11926623780
2024-03-10,3915.590576,3968.723633,3800.564453,3881.193115,15783924355
2024-03-11,3881.237793,4087.050049,3745.125244,4066.445068,28806262507
2024-03-12,4066.69043,4092.28418,3831.889893,3980.273193,26917010932
2024-03-13,3980.265137,4083.007324,3936.627197,4006.457031,22028114691
2024-03-14,4005.745117,4011.102783,3721.788574,3883.140381,25434810823
2024-03-15,3882.856934,3928.775635,3571.774658,3735.220215,33505075433
2024-03-16,3736.10498,3780.894531,3468.079346,3522.860107,20199855932
2024-03-17,3523.029785,3676.263428,3414.172363,3642.413086,19938757095
2024-03-18,3642.298828,3642.49707,3456.091309,3517.985107,21162220224
2024-03-19,3518.347656,3546.582275,3149.286865,3157.618164,34166976701
2024-03-20,3158.396729,3534.826416,3059.654785,3513.393066,36605316331
2024-03-21,3514.017578,3586.905029,3412.222656,3492.991211,22213647922
2024-03-22,3492.897949,3541.898193,3254.969238,3333.687988,20574952329
2024-03-23,3335.592529,3433.758057,3273.115479,3336.593994,13242137554
2024-03-24,3336.666016,3470.344482,3301.277344,3454.636475,12156660941
2024-03-25,3454.885742,3657.118896,3421.790527,3590.883789,18603921705
2024-03-26,3591.085205,3678.789795,3545.428711,3587.504883,18505553577
2024-03-27,3587.313721,3664.383057,3460.393555,3500.115234,18753082145
2024-03-28,3500.216064,3609.705322,3465.332275,3561.293945,16419674157
2024-03-29,3561.011719,3583.701416,3475.725586,3511.806152,12712701619
2024-03-30,3511.827637,3566.084473,3489.9021,3507.944336,9389066783
2024-03-31,3507.95166,3655.218994,3507.242676,3647.856445,10499881424
2024-04-01,3647.81958,3648.12915,3418.695313,3505.030029,16002098681
2024-04-02,3504.818359,3506.962891,3215.985107,3277.234619,22076539151
2024-04-03,3277.324219,3368.111572,3205.64917,3311.441895,16010734587
2024-04-04,3311.495361,3443.20752,3253.319336,3330.040527,14476330517
2024-04-05,3330.005859,3345.666504,3214.244141,3318.885254,15214447092
2024-04-06,3318.864746,3397.592529,3308.983398,3354.183838,8956926798
2024-04-07,3354.213867,3458.508301,3346.114746,3453.494629,9931108526
2024-04-08,3453.498779,3727.616455,3409.511719,3695.292725,19055143129
2024-04-09,3695.341797,3724.922363,3455.107666,3505.16333,18279773833
2024-04-10,3505.156006,3561.516357,3415.18042,3543.737061,16872482726
2024-04-11,3543.452148,3616.194336,3477.171143,3505.247803,14076734489
2024-04-12,3505.329834,3552.589111,3103.430176,3243.034912,22104869556
2024-04-13,3242.940918,3299.663818,2862.393555,3004.900391,29930408174
2024-04-14,3005.547607,3174.666504,2914.422852,3156.941895,25486284994
2024-04-15,3156.830078,3277.561523,3026.538818,3101.600342,21925843181
2024-04-16,3101.140625,3127.160889,2997.754639,3084.920166,19441391169
2024-04-17,3084.923584,3123.669678,2918.553711,2984.727539,17711869375
2024-04-18,2984.705322,3094.842041,2956.127441,3066.027588,15183777035
2024-04-19,3065.953125,3127.11499,2868.795898,3059.278564,20399982867
2024-04-20,3059.478027,3170.672852,3021.784912,3157.627197,9918642130
2024-04-21,3157.571045,3197.506348,3119.552002,3147.288574,9394387894
2024-04-22,3147.663574,3236.65918,3131.367432,3201.6521,12063858733
2024-04-23,3201.588623,3264.419434,3154.589844,3219.911621,11054442653
2024-04-24,3219.957031,3292.921631,3105.982178,3139.805176,14000234760
2024-04-25,3139.624268,3190.976318,3074.804688,3156.509521,13989030260
2024-04-26,3156.384033,3166.188721,3103.104004,3130.164795,10622333862
2024-04-27,3129.727051,3279.451172,3071.340088,3252.168213,11820785577
2024-04-28,3252.245605,3351.176514,3249.14917,3262.774658,11379192678
2024-04-29,3262.34082,3285.46875,3116.199951,3215.428955,15032246816
2024-04-30,3215.381104,3249.378418,2918.22876,3012.286865,18266894653
2024-05-01,3011.015625,3020.17334,2815.92334,2969.784668,20005057445
2024-05-02,2969.794434,3015.050293,2894.329834,2988.168457,13163903903
2024-05-03,2988.134521,3127.155273,2960.182129,3103.541992,12862183229
2024-05-04,3103.619629,3167.54126,3096.267578,3117.576416,8283229638
2024-05-05,3117.636963,3170.055176,3075.586182,3137.249023,8783447639
2024-05-06,3137.510254,3220.152344,3048.238525,3062.72876,13008587255
2024-05-07,3062.750977,3129.081299,3003.013672,3006.577148,11743187337
2024-05-08,3006.315674,3037.196045,2938.472656,2973.657227,11791662158
2024-05-09,2973.97168,3057.958252,2951.223877,3036.020508,10861947179
2024-05-10,3036.231201,3052.729492,2881.000732,2909.79126,12278653601
2024-05-11,2909.845459,2942.178711,2888.083252,2911.602051,6795916454
2024-05-12,2911.658203,2953.047363,2902.201904,2928.701904,5908941395
2024-05-13,2928.813965,2994.869141,2865.134521,2949.359619,13352264795
2024-05-14,2949.213135,2959.546631,2863.545898,2881.157959,12444516140
2024-05-15,2881.224609,3041.602295,2864.735352,3037.056641,14666902956
2024-05-16,3036.01416,3041.807129,2925.087402,2945.131104,13035465176
2024-05-17,2945.136963,3120.301758,2934.112549,3094.118652,14449438097
2024-05-18,3094.553467,3146.790527,3087.704346,3122.948975,9407051320
2024-05-19,3122.824707,3137.148438,3056.754395,3071.843018,8747800800
2024-05-20,3071.858887,3690.805908,3050.297852,3663.855469,31228143948
2024-05-21,3663.01123,3837.372803,3628.096436,3789.312744,37643853967
2024-05-22,3789.372803,3810.948486,3655.075195,3737.217773,25155809461
2024-05-23,3737.178467,3943.553955,3552.642578,3776.927246,45623656317
2024-05-24,3776.992432,3825.122559,3631.990234,3726.93457,22257061429
2024-05-25,3726.975586,3776.006592,3710.52832,3749.236572,10000027764
2024-05-26,3749.179932,3879.470703,3732.022949,3825.897461,14650794791
2024-05-27,3826.127197,3973.556396,3821.93042,3892.006836,18949181813
2024-05-28,3892.096924,3924.895752,3771.213867,3840.256348,19846044324
2024-05-29,3840.235107,3880.648438,3742.04126,3763.196533,17411416736
2024-05-30,3763.357666,3823.643311,3702.263672,3746.849609,15065849797
2024-05-31,3746.861572,3843.857666,3723.835205,3760.026611,15290700646
2024-06-01,3759.884277,3829.294678,3749.840088,3813.198975,8661024535
2024-06-02,3813.275635,3834.911865,3752.414551,3780.895996,11126903059
2024-06-03,3780.854248,3848.603027,3758.919922,3766.38916,14082454300
2024-06-04,3766.476318,3831.36499,3738.134277,3812.515869,13331489271
2024-06-05,3812.560791,3887.48584,3778.655762,3864.260986,15480034434
2024-06-06,3864.263428,3878.052246,3761.775391,3811.605957,13606583873
2024-06-07,3811.666016,3838.452148,3615.280273,3678.62915,18220286186
2024-06-08,3677.400391,3707.497314,3669.637939,3680.949951,9096091805
2024-06-09,3680.936035,3719.367676,3668.123535,3705.903809,7910768788
2024-06-10,3705.877197,3711.428711,3648.164551,3666.717529,10377300126
2024-06-11,3666.358887,3669.890869,3434.749023,3498.330566,19184721538
2024-06-12,3497.896973,3652.492188,3463.784912,3559.617676,17142905351
2024-06-13,3559.725342,3559.725342,3431.333496,3469.28125,14472382154
2024-06-14,3467.969971,3528.602295,3366.223877,3480.271973,15793876596
2024-06-15,3479.785645,3589.887451,3473.452637,3565.549561,12733651076
2024-06-16,3566.761963,3648.093018,3541.534424,3620.563477,9878388158
2024-06-17,3622.383545,3634.2854,3468.148926,3511.378906,17838856988
2024-06-18,3510.565186,3514.177246,3371.590332,3483.681396,21022514455
2024-06-19,3482.35083,3583.320068,3466.480957,3559.347412,15275373778
2024-06-20,3559.347412,3623.886475,3485.459961,3511.086914,16115123753
