Date,Ticker,Open,High,Low,Close,Volume,EMA_200,EMA_50,EMA_20,RSI_14,ATR,ATR_pct,Vol_SMA_20,Vol_Ratio,MACD,MACD_signal,MACD_diff
2023-11-23,ADA-USD,0.3806760013103485,0.38714200258255,0.3780370056629181,0.3866750001907348,241703105,0.3866750001907348,0.3866750001907348,0.3866750001907348,100.0,0.0,0.0,241703105.0,1.0,0.0,0.0,0.0
2023-11-24,ADA-USD,0.386694997549057,0.3973439931869507,0.3849950134754181,0.3862130045890808,350870124,0.38667040321957413,0.38665688271616017,0.3866310006096249,0.0,0.0,0.0,296286614.5,1.1842253643220186,-3.6854349989456914e-05,-7.370869997891383e-06,-2.9483479991565532e-05
2023-11-25,ADA-USD,0.3862200081348419,0.395702987909317,0.3857020139694214,0.3948110044002533,215322275,0.3867514042263471,0.38697665219396776,0.38741004858968475,95.24763355610425,0.0,0.0,269298501.3333333,0.7995672977529035,0.0006205714786876038,0.00011821759973920765,0.0005023538789483961
2023-11-26,ADA-USD,0.39478799700737,0.3955689966678619,0.381164014339447,0.3881849944591522,234557830,0.386765668805778,0.38702403816515146,0.3874838529582055,53.19656048302452,0.0,0.0,260613333.5,0.9000223697303653,0.0006000060616523917,0.00021457529212184445,0.0003854307695305472
2023-11-27,ADA-USD,0.3881129920482635,0.3917860090732574,0.3720340132713318,0.3783589899539947,254570208,0.3866820202599891,0.38668423235294924,0.38661481838637585,31.19904155393469,0.0,0.0,259404708.4,0.9813630969544884,-0.00020678493571424372,0.00013030324655462683,-0.00033708818226887055
2023-11-28,ADA-USD,0.3783409893512726,0.3881149888038635,0.3704890012741089,0.3856239914894104,273962828,0.3866714926105306,0.3866426542798693,0.38652045391999823,48.24099872608236,0.0,0.0,261831061.66666666,1.0463343281584296,-0.00025698533896589826,5.2845529450521815e-05,-0.0003098308684164201
2023-11-29,ADA-USD,0.3856329917907715,0.3888010084629059,0.3785479962825775,0.3817760050296783,256880751,0.3866227812913181,0.3864518052896658,0.38606860164472967,42.26888244713823,0.0,0.0,261123874.42857143,0.9837505343475129,-0.0006003494142104437,-7.779345928167131e-05,-0.0005225559549287724
2023-11-30,ADA-USD,0.3818030059337616,0.3825759887695312,0.3727020025253296,0.3758949935436249,267025029,0.3865160371346247,0.38603781267217396,0.38509968658748156,35.11409658974547,0.0,0.0,261861518.75,1.0197184766767111,-0.0013316657807201926,-0.0003285679235693756,-0.001003097857150817
2023-12-01,ADA-USD,0.3758910000324249,0.385246992111206,0.3744829893112182,0.3842020034790039,248849205,0.386493011924121,0.38596582015479475,0.3850141929581027,48.400288794435426,0.0,0.0,260415706.1111111,0.9555844719051775,-0.0012267913062948277,-0.000508212600114466,-0.0007185787061803617
2023-12-02,ADA-USD,0.3842040002346039,0.397843986749649,0.383415013551712,0.3977980017662048,255637811,0.3866054993852363,0.3864298272768108,0.3862316985588743,62.08445945360874,0.0,0.0,259937916.6,0.9834571821754765,-4.6063107623062205e-05,-0.0004157827016161853,0.0003697195939931231
