date,news_count,mean_sentiment
2025-02-07,14,0.14372142857142858
2025-02-09,17,0.16230588235294116
2025-02-10,10,0.24426
2025-02-12,9,0.0887
2025-03-01,12,0.16635833333333336
2025-03-02,26,0.1267923076923077
2025-03-03,17,0.12131764705882354
2025-03-04,20,0.079155
2025-03-05,3,0.0
2025-03-06,18,0.17908333333333334
2025-03-07,8,0.2049875
2025-03-09,14,0.10375
2025-03-10,7,0.1209
2025-03-11,14,0.07890714285714286
2025-03-12,7,-0.039028571428571426
2025-04-01,3,0.1628333333333333
2025-04-02,44,0.1396613636363636
2025-04-03,11,-0.012690909090909086
2025-04-04,15,0.11209333333333334
2025-04-05,2,0.0
2025-04-06,22,0.18518636363636362
2025-04-07,4,0.19037500000000002
2025-04-08,21,0.1301904761904762
2025-04-09,7,0.2519
2025-04-11,8,0.063825
2025-04-12,7,0.10250000000000001
2025-05-01,2,0.0
2025-05-02,34,0.09201470588235294
2025-05-03,14,0.19934999999999997
2025-05-04,5,0.37523999999999996
2025-05-05,14,0.11207857142857143
2025-05-06,15,0.14026666666666668
2025-05-08,20,0.14450000000000002
2025-05-09,3,0.025733333333333334
2025-05-10,2,0.0
2025-05-11,9,0.03654444444444445
2025-05-12,4,0.30145
2025-06-01,9,0.24101111111111115
2025-06-02,23,0.1751521739130435
2025-06-03,11,-0.09151818181818182
2025-06-04,8,0.00645
2025-06-05,15,0.2676466666666667
2025-06-06,6,0.24666666666666667
2025-06-08,11,0.18508181818181815
2025-06-09,2,0.21075
2025-06-10,13,0.1931769230769231
2025-06-11,7,0.10777142857142856
2025-07-01,17,0.24805882352941175
2025-07-02,30,0.18374333333333331
2025-07-03,22,0.08571363636363637
2025-07-04,11,0.1157818181818182
2025-07-05,12,0.16664166666666666
2025-07-06,1,0.0
2025-07-07,11,0.1677090909090909
2025-07-08,10,0.12601
2025-07-09,2,-0.11315
2025-07-10,9,0.2518777777777778
2025-07-11,6,-0.11826666666666667
2025-08-01,8,0.108225
2025-08-02,2,0.2997
2025-08-03,4,0.30005
2025-08-04,17,0.11708823529411765
2025-08-05,20,0.15392
2025-08-07,7,0.44398571428571426
2025-08-08,12,0.35181666666666667
2025-08-09,10,0.14079
2025-08-10,9,0.1873888888888889
2025-08-11,3,0.05103333333333334
2025-09-01,10,0.08307
2025-09-03,7,0.06358571428571427
2025-09-04,16,0.060325
2025-09-05,8,0.0985125
2025-09-06,9,0.3257777777777778
2025-09-07,9,0.2652777777777778
2025-09-08,1,0.0
2025-09-09,12,0.24937499999999999
2025-09-10,8,0.135675
2025-09-11,3,-0.1468
2025-10-01,15,0.16861333333333337
2025-10-02,30,0.21622333333333332
2025-10-03,16,0.13626875
2025-10-04,12,0.183825
2025-10-05,6,-0.0237
2025-10-06,9,0.10793333333333334
2025-10-07,15,0.22099333333333335
2025-10-09,13,0.1532
2025-10-10,16,0.06488125
2025-10-11,6,0.06595
2025-11-01,7,0.061228571428571424
2025-11-02,32,0.189325
2025-11-03,15,0.12802666666666665
2025-11-04,15,0.21233333333333335
2025-11-05,1,0.4404
2025-11-06,10,0.09638
2025-11-07,13,0.058784615384615393
2025-11-08,12,0.37035
2025-11-09,11,0.08755454545454545
2025-11-10,2,-0.29295
2025-11-11,10,0.13011
2025-12-01,3,0.06743333333333333
2025-12-02,29,0.1147448275862069
2025-12-03,14,0.15969999999999998
2025-12-04,4,0.0
2025-12-05,16,0.21559375
2025-12-06,7,0.18715714285714286
2025-12-08,11,0.13916363636363635
2025-12-09,11,0.16866363636363635
2025-12-10,3,0.0
2025-12-11,8,0.20879999999999999
